title,year,genre,cast_hint,director,plot_hint,tagline_text
Reservoir Dogs,1992,"Crime, Thriller","Harvey Keitel, Tim Roth, Michael Madsen",,"A botched robbery indicates a police informant, and the pressure mounts in the aftermath at a warehouse. Crime begets violence as the survivors -- veteran Mr. White, newcomer Mr. Orange, psychopathic parolee Mr. Blonde, bickering weasel Mr. Pink and Nice Guy Eddie -- unravel.",Every dog has his day.
Jackie Brown,1997,"Crime, Drama, Thriller","Pam Grier, Samuel L. Jackson, Robert De Niro",,"Jackie Brown is a flight attendant who gets caught in the middle of smuggling cash into the country for her gunrunner boss. When the cops try to use Jackie to get to her boss, she hatches a plan — with help from a bail bondsman — to keep the money for herself.","This Christmas, Santa's got a brand new bag."
Kill Bill: Vol. 1,2003,"Action, Crime","Uma Thurman, Lucy Liu, Vivica A. Fox",,"An assassin is shot by her ruthless employer, Bill, and other members of their assassination circle – but she lives to plot her vengeance.",Here comes the bride.
Kill Bill: Vol. 2,2004,"Action, Crime, Thriller","Uma Thurman, David Carradine, Daryl Hannah",,"The Bride unwaveringly continues on her roaring rampage of revenge against the band of assassins who had tried to kill her and her unborn child. She visits each of her former associates one-by-one, checking off the victims on her Death List Five until there's nothing left to do … but kill Bill.",The bride is back for the final cut.
Death Proof,2007,"Action, Thriller","Kurt Russell, Zoë Bell, Rosario Dawson",,"Austin's hottest DJ, Jungle Julia, sets out into the night to unwind with her two friends Shanna and Arlene. Covertly tracking their moves is Stuntman Mike, a scarred rebel leering from behind the wheel of his muscle car, revving just feet away.",A crash course in revenge.
The Hateful Eight,2015,"Drama, Mystery, Western","Samuel L. Jackson, Kurt Russell, Jennifer Jason Leigh",,Bounty hunters seek shelter from a raging blizzard and get caught up in a plot of betrayal and deception.,No one comes up here without a damn good reason.
