title,year,genre,cast_hint,director,plot_hint,tagline_text
Indiana Jones and the Temple of Doom,1984,"Adventure, Action","Harrison Ford, Kate Capshaw, Ke Huy Quan",Steven Spielberg,"After arriving in India, Indiana Jones is asked by a desperate village to find a mystical stone. He agrees – and stumbles upon a secret cult plotting a terrible plan in the catacombs of an ancient palace.",If adventure has a name... it must be Indiana Jones.
Indiana Jones and the Kingdom of the Crystal Skull,2008,"Adventure, Action","Harrison Ford, Cate Blanchett, Karen Allen",Steven Spielberg,"Set during the Cold War, the Soviets—led by sword-wielding Irina Spalko—are in search of a crystal skull which has supernatural powers related to a mystical Lost City of Gold. Indy is coerced to head to Peru at the behest of a young man whose friend—and Indy's colleague—Professor Oxley has been captured for his knowledge of the skull's whereabouts.",The adventure continues...
Indiana Jones and the Dial of Destiny,2023,"Adventure, Action","Harrison Ford, Phoebe Waller-Bridge, Mads Mikkelsen",James Mangold,"Finding himself in a new era, and approaching retirement, Indy wrestles with fitting into a world that seems to have outgrown him. But as the tentacles of an all-too-familiar evil return in the form of an old rival, Indy must don his hat and pick up his whip once more to make sure an ancient and powerful artifact doesn't fall into the wrong hands.",A legend will face his destiny.
